breakdown,bucket,fills,avg_realized_spread_5s,avg_markout_1s,avg_quote_age_ms
side,ask,6,-0.6166666666667121,0.5833333333331817,2997.912
side,bid,5,-0.7299999999999273,-0.7800000000000182,3830.701
pressure_bucket,"(-0.25, 0.25]",4,0.049999999999954525,0.125,2928.48125
pressure_bucket,"(-0.75, -0.5]",2,-1.2000000000000455,-1.2499999999997726,1629.0025
pressure_bucket,"(-1.011, -0.75]",1,-0.15000000000009095,-0.4000000000005457,6993.353
pressure_bucket,"(0.25, 0.5]",2,-0.5499999999997272,-0.5,4451.0735
pressure_bucket,"(0.5, 0.75]",1,-0.34999999999990905,0.1999999999998181,913.919
pressure_bucket,"(0.75, 1.01]",1,-3.550000000000182,2.7999999999992724,5359.628
quote_age_bucket_ms,1000-5000,6,-0.2666666666666515,-0.16666666666666666,2820.1301666666664
quote_age_bucket_ms,250-1000,2,-1.0,-0.7000000000000455,945.113
quote_age_bucket_ms,5000-30000,3,-1.25,0.6666666666663635,6109.990000000001
queue_ahead_bucket,20+,11,-0.6681818181818099,-0.03636363636372731,3376.4524545454547
inventory_bucket,flat,3,-0.38333333333321207,-0.10000000000006064,2879.758333333333
inventory_bucket,long_small,1,-0.34999999999990905,0.1999999999998181,913.919
inventory_bucket,short_small,7,-0.8357142857143377,-0.042857142857233806,3941.111857142857
spread_bucket,0.1-0.5,4,-0.5499999999999545,-0.3749999999998863,2737.26775
spread_bucket,<=0.1,7,-0.7357142857142988,0.15714285714264925,3741.7008571428573
