day,check,severity,value,detail
2026-03-19,orderbook_schema,ok,0.0,missing=[]
2026-03-19,trades_schema,ok,0.0,missing=[]
2026-03-19,fundings_schema,ok,0.0,missing=[]
2026-03-19,orderbook_timestamp_order,ok,0.0,negative timestamp diffs
2026-03-19,orderbook_missing_values,ok,0.0,null cells
2026-03-19,orderbook_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
2026-03-19,orderbook_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
2026-03-19,trades_timestamp_order,ok,0.0,negative timestamp diffs
2026-03-19,trades_missing_values,ok,0.0,null cells
2026-03-19,trades_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
2026-03-19,trades_duplicate_timestamps,warn,9433.0,duplicate timestamps; pct=32.1430
2026-03-19,fundings_timestamp_order,ok,0.0,negative timestamp diffs
2026-03-19,fundings_missing_values,ok,0.0,null cells
2026-03-19,fundings_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
2026-03-19,fundings_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
2026-03-19,orderbook_bid_monotonicity,ok,0.0,rows with increasing bid levels
2026-03-19,orderbook_ask_monotonicity,ok,0.0,rows with decreasing ask levels
2026-03-19,orderbook_negative_quantities,ok,0.0,rows with negative qty
2026-03-19,orderbook_locked_or_crossed,ok,0.0,rows with bid >= ask
2026-03-19,tick_inference,ok,0.1,modal positive price increment
2026-03-19,spread_distribution,ok,0.09999999999990905,"stats={'tick_size': 0.1, 'spread_min': 0.09999999999990905, 'spread_p05': 0.09999999999990905, 'spread_p50': 0.09999999999990905, 'spread_p95': 0.1000000000003638, 'spread_p99': 0.1000000000003638, 'spread_max': 2.700000000000273, 'spread_ticks_p50': 0.9999999999990905, 'one_tick_or_less_pct': 80.4810819289287}"
2026-03-19,one_tick_spread_share,warn,80.4810819289287,share of books with spread <= one inferred tick; high values leave little edge after fees/queue
2026-03-19,mid_jump_outliers,warn,48.00000000000182,"mid jump ticks p99=2.0000, max=48.0000"
