breakdown,bucket,fills,avg_realized_spread_5s,avg_markout_1s,avg_quote_age_ms
side,ask,3,0.11666666666678793,0.06666666666660603,1999.936
side,bid,2,-1.125,-0.47499999999990905,4015.642
pressure_bucket,"(-0.25, 0.25]",2,0.09999999999990905,0.09999999999990905,2550.419
pressure_bucket,"(-0.75, -0.5]",1,0.1500000000005457,0.0,898.97
pressure_bucket,"(0.25, 0.5]",1,0.0500000000001819,-0.3999999999996362,5976.989
pressure_bucket,"(0.5, 0.75]",1,-2.300000000000182,-0.5500000000001819,2054.295
quote_age_bucket_ms,1000-5000,3,-0.7000000000001213,-0.11666666666678793,2385.0443333333337
quote_age_bucket_ms,250-1000,1,0.1500000000005457,0.0,898.97
quote_age_bucket_ms,5000-30000,1,0.0500000000001819,-0.3999999999996362,5976.989
queue_ahead_bucket,20+,5,-0.37999999999992723,-0.15,2806.2184
inventory_bucket,flat,3,0.08333333333333333,-0.06666666666660603,3692.6090000000004
inventory_bucket,long_small,1,0.1500000000005457,0.0,898.97
inventory_bucket,short_small,1,-2.300000000000182,-0.5500000000001819,2054.295
spread_bucket,0.1-0.5,2,-1.125,-0.47499999999990905,4015.642
spread_bucket,<=0.1,3,0.11666666666678793,0.06666666666660603,1999.936
