check,severity,value,detail
orderbook_schema,ok,0.0,missing=[]
trades_schema,ok,0.0,missing=[]
fundings_schema,ok,0.0,missing=[]
orderbook_timestamp_order,ok,0.0,negative timestamp diffs
orderbook_missing_values,ok,0.0,null cells
orderbook_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
orderbook_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
trades_timestamp_order,ok,0.0,negative timestamp diffs
trades_missing_values,ok,0.0,null cells
trades_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
trades_duplicate_timestamps,warn,36.0,duplicate timestamps; pct=18.0905
fundings_timestamp_order,ok,0.0,negative timestamp diffs
fundings_missing_values,ok,0.0,null cells
fundings_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
fundings_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
orderbook_bid_monotonicity,ok,0.0,rows with increasing bid levels
orderbook_ask_monotonicity,ok,0.0,rows with decreasing ask levels
orderbook_negative_quantities,ok,0.0,rows with negative qty
orderbook_locked_or_crossed,ok,0.0,rows with bid >= ask
tick_inference,ok,0.1,modal positive price increment
spread_distribution,ok,0.09999999999990905,"stats={'tick_size': 0.1, 'spread_min': 0.09999999999990905, 'spread_p05': 0.09999999999990905, 'spread_p50': 0.09999999999990905, 'spread_p95': 0.1000000000003638, 'spread_p99': 0.1000000000003638, 'spread_max': 0.40000000000009095, 'spread_ticks_p50': 0.9999999999990905, 'one_tick_or_less_pct': 83.42}"
one_tick_spread_share,warn,83.42,share of books with spread <= one inferred tick; high values leave little edge after fees/queue
mid_jump_outliers,ok,6.999999999998181,"mid jump ticks p99=2.0000, max=7.0000"
depth_distribution,ok,46.076,"stats={'bid_depth_1_p50': 46.076, 'ask_depth_1_p50': 24.845, 'bid_depth_5_p50': 135.723, 'ask_depth_5_p50': 135.7985, 'bid_depth_10_p50': 242.7135, 'ask_depth_10_p50': 259.4605, 'bid_depth_20_p50': 675.2644999999999, 'ask_depth_20_p50': 734.5640000000001}"
trade_price_size_finite,ok,0.0,non-finite trade price or size
trade_side_values,ok,0.0,"is_maker_ask values outside {0,1}"
trade_positive_size,ok,0.0,trade rows with size <= 0
trade_book_same_timestamp_share,warn,13.5678391959799,trades sharing exact timestamps with book updates; default simulator policy processes equal-time trades before books
trade_book_alignment,ok,0.0,trades not near matching side of BBO
trade_price_outside_visible_l2,ok,0.0,trades outside visible L2 price range after backward book alignment
trade_book_alignment_age_ms,ok,85.698662,"backward book alignment age stats={'p50_ms': 30.504789000000002, 'p95_ms': 60.6182801, 'max_ms': 85.698662}"
funding_rate_finite,ok,0.0,non-finite funding rates
funding_rate_outliers,ok,0.00013780831840199,"absolute funding p99=0.00013526, max=0.00013781"
funding_gaps,ok,21.0,gaps over threshold=0
day_boundary_2026-03-19,ok,0.0,rows outside source date
