check,severity,value,detail
orderbook_schema,ok,0.0,missing=[]
trades_schema,ok,0.0,missing=[]
fundings_schema,ok,0.0,missing=[]
orderbook_timestamp_order,ok,0.0,negative timestamp diffs
orderbook_missing_values,ok,0.0,null cells
orderbook_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
orderbook_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
trades_timestamp_order,ok,0.0,negative timestamp diffs
trades_missing_values,ok,0.0,null cells
trades_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
trades_duplicate_timestamps,warn,5.0,duplicate timestamps; pct=29.4118
fundings_timestamp_order,ok,0.0,negative timestamp diffs
fundings_missing_values,ok,0.0,null cells
fundings_duplicate_rows,ok,0.0,targeted duplicate rows excluding loader metadata
fundings_duplicate_timestamps,ok,0.0,duplicate timestamps; pct=0.0000
orderbook_bid_monotonicity,ok,0.0,rows with increasing bid levels
orderbook_ask_monotonicity,ok,0.0,rows with decreasing ask levels
orderbook_negative_quantities,ok,0.0,rows with negative qty
orderbook_locked_or_crossed,ok,0.0,rows with bid >= ask
tick_inference,ok,0.1,modal positive price increment
spread_distribution,ok,0.09999999999990905,"stats={'tick_size': 0.1, 'spread_min': 0.09999999999990905, 'spread_p05': 0.09999999999990905, 'spread_p50': 0.09999999999990905, 'spread_p95': 0.1000000000003638, 'spread_p99': 0.1000000000003638, 'spread_max': 0.20000000000027285, 'spread_ticks_p50': 0.9999999999990905, 'one_tick_or_less_pct': 79.80000000000001}"
one_tick_spread_share,warn,79.80000000000001,share of books with spread <= one inferred tick; high values leave little edge after fees/queue
mid_jump_outliers,ok,5.0,"mid jump ticks p99=1.0000, max=5.0000"
depth_distribution,ok,38.908,"stats={'bid_depth_1_p50': 38.908, 'ask_depth_1_p50': 35.227000000000004, 'bid_depth_5_p50': 130.12, 'ask_depth_5_p50': 161.73000000000002, 'bid_depth_10_p50': 220.59699999999998, 'ask_depth_10_p50': 253.698, 'bid_depth_20_p50': 641.835, 'ask_depth_20_p50': 756.0095}"
trade_price_size_finite,ok,0.0,non-finite trade price or size
trade_side_values,ok,0.0,"is_maker_ask values outside {0,1}"
trade_positive_size,ok,0.0,trade rows with size <= 0
trade_book_same_timestamp_share,warn,5.88235294117647,trades sharing exact timestamps with book updates; default simulator policy processes equal-time trades before books
trade_book_alignment,ok,0.0,trades not near matching side of BBO
trade_price_outside_visible_l2,ok,0.0,trades outside visible L2 price range after backward book alignment
trade_book_alignment_age_ms,ok,71.415698,"backward book alignment age stats={'p50_ms': 32.122438, 'p95_ms': 52.971629999999976, 'max_ms': 71.415698}"
funding_rate_finite,ok,0.0,non-finite funding rates
funding_rate_outliers,ok,0.000119433705410506,"absolute funding p99=0.00011934, max=0.00011943"
funding_gaps,ok,20.0,gaps over threshold=0
day_boundary_2026-03-19,ok,0.0,rows outside source date
